explanation,text
There is no apparent limit.,(The) sky's the limit
To use 'a sledgehammer to crack a nut' means to use disproportionate force or expense to overcome a minor problem. ,Sledgehammer to crack a nut - A 
To sleep like a top is to sleep very soundly.,Sleep like a top
To sleep on a clothesline is to sleep very soundly.,Sleep on a clothesline
To 'sleep tight' is to sleep well and undisturbed.,Sleep tight
A pointless undertaking. ,Sleeveless errand
"Sloane Rangers, or latterly just Sloanes or Sloanies are upper class and fashion-conscious but conventional young people, living in the more expensive parts of West London.",Sloane Ranger
"Money put aside to be used to bribe or influence, especially in a political context.",Slush fund
"A euphemistic
reference to a lavatory.",Smallest room in the house - The
Smart but informal clothing. Conforming to a dress code but not uncomfortably so.,Smart casual
"Trickery or deception, often in a political context. ",Smoke and mirrors
To be 'as snug as a bug in a rug' is to be very comfortable and cosy.,Snug as a bug in a rug
A defiant challenge for an adversary to escalate a dispute. ,So sue me
A scruffy or dirty person; one who washes rarely.,Soap-dodger
"The so-called law is usually expressed as 'If anything can go wrong, it will'.",Sod's Law
Betrayed or cheated.,Sold down the river
Literal meaning ,"Some are born great, some achieve greatness, and some have greatness thrust upon 'em"
Literal meaning.,"Some men are born mediocre, some men achieve mediocrity, and some men, have mediocrity thrust upon them"
A response to a sudden unexplained shudder or shivering.,Someone is walking over my grave
A coy query asking if a customer wanted to buy a condom.,Something for the weekend sir?
"Prince Hamlet and   officers Marcellus and Horatio see the ghost of Hamletâs father - the Danish king, recently murdered by Hamlet's uncle Claudius. ",Something is rotten in the state of Denmark
"'Something nasty in the woodshed' is a traumatic but unspecified incident in someone's experience, or something  shocking or distasteful that has been  kept secret.",Something nasty in the woodshed
"'Something old, something new, something borrowed, something blue' is the collection of items that is considered lucky for a bride to take to her wedding.","Something old, something new, something borrowed, something blue"
A general term of abuse for a man. ,Son of a *****
"A 'son of a gun' is a rogue or scamp - ""you are naughty, you old son of a gun"". The phrase is also used, although this is uncommon outside the USA, as a euphemism for 'son of a bitch'. ",Son of a gun
A 'sorry sight' is a regrettable and unwelcome  feature. Now also used to mean something or someone of untidy appearance. ,Sorry sight
"A short and easily remembered line, intended by the speaker to be suitable for media repetition.",Sound bite
To shirk one's labour; to malinger. ,Sound out
Acting meanly after a disappointment.,Sour grapes
The first line of the opening voice-over in Star Trek,"Space, the final frontier"
"'Spare the rod and spoil the child' is the notion that children will become weak and vulnerable if not chastised, physically or otherwise, for any wrongdoing.",Spare the rod and spoil the child
A reference to someone who appears unexpectedly while being talked about. ,Speak of the Devil
"'Speak softly and carry a big stick' is a proverbial saying advising the tactic of caution and non-aggression, backed up by the ability to carry out violent action if required.",Speak softly and carry a big stick
The relationship between the United Kingdom and the USA.,Special relationship
A 'Spelling Bee' is a spelling contest.,Spelling-bee
To use a public lavatory.,Spend a penny
'Spick and span' is entirely clean - fresh or unused.,Spick and span
"To divulge a secret, especially to do so inadvertently or maliciously. ",Spill the beans
A 'spin doctor' is a political press agent or publicist employed to promote a favourable interpretation of events to journalists.,Spin doctor
Various meanings; see below.,Spitting feathers
The exact likeness.,Spitting image
A Spoonerism is a word or phrase that is formed by transposing the initial sounds of two or more other words.,Spoonerisms
"'Spring forward, fall back' is a mnemonic relating to Daylight Saving Time, indicating that clocks are moved  forward an hour in spring and  back an hour in autumn.","Spring forward, fall back"
To make smart and trim.,Spruce-up
"A
substantial, nourishing meal.",Square meal
"The tense, final stages of a competition.",Squeaky bum time
"A demand for money, often associated with English highwaymen. ",Stand and deliver
"A loyal and
  reliable friend.",Stand up guy
Using the understanding gained by major thinkers who have gone before in order to make intellectual progress.,Standing on the shoulders of giants
"Star-crossed means unlucky, that is, not favoured by the stars. The first pair to be so described were Romeo and Juliet.",Star-crossed lovers
Completely mad; delirious. ,"Stark, raving mad"
A jocular exclamation or expression of astonishment. ,Stars and garters - My 
"Begin (again) from the beginning, embark on something without any preparation or advantage.",Start from scratch
Gain an advantage over an opponent.,Steal a march
Someone 'steals your thunder' when they use your ideas or inventions to their own advantage. ,Steal my thunder
"'Step up to the plate' is an expression used in baseball, meaning 'enter the batter's box to take a turn to bat'. ",Step up to the plate
A narrow-minded or unprogressive person; one who lacks initiative ,Stick in the mud
To put your oar in is to interfere or get involved in an unwelcome way.,Stick your oar in
"'Sticks and stones may break my bones' is a response to an insult, implying that ""You might be hurt able to hurt me by physical force but not by insults"". ",Sticks and stones may break my bones
"A
difficult situation.",Sticky wicket
To keep a stiff upper lip is to remain resolute and unemotional in the face of adversity. ,Stiff upper lip
"To stiffen the sinews is to, by one's own efforts, become resolute and purposeful. The sinews are the fibrous cords that connect bone to muscle - we stiffen them when we prepare for action.",Stiffen the sinews
"Extremely, offensively rich ",Stinking rich
A 'stitch in time' is a timely effort that will prevent more work later.,Stitch in time saves nine - A 
An exclamation of incredulity or annoyance. ,Stone the crows
"A
short distance.",Stone's throw
Cruel and unfeeling. ,Stony-hearted
"The literal meaning of a stool pigeon is a  decoy bird. In the more common figurative meaning a stool pigeon is  a police informer, or criminal's look-out.",Stool pigeon
"A tempest in a teapot is a small or insignificant event that is over-reacted to, as if it were of considerably more consequence.",Storm in a teacup
Completely straight.,Straight as a die
From the highest authority.,Straight from the horse's mouth
To strain at the leash is to be enthusiastic to free oneself from the restrictions that bar one's progress.,Strain at the leash
Excessively rigid  in matters of conduct; narrow or over-precise in one's behaviour or moral judgement. ,Strait-laced
A conventional and law-abiding course. ,Strait and narrow
"A slogan, intended to alert children to the risks posed by people they do not know. ",Stranger danger
Literal meaning. ,Stranger than fiction - Truth is 
To strike while the iron is hot is to act decisively and take an opportunity when it arises.,Strike while the iron is hot
To be stuck fast is to be firmly fixed in place and unable to move. ,Stuck fast
"Rubbish, nonsense. Also used, although less often in recent years, as an exclamation of incredulity. ",Stuff and nonsense
Pay for a purchase.,Stump up
"An acceptance of the unpredictable fortunes of existence, often spoken with an air of weary resignation. ",Such is life
"'Super-duper' means especially large, powerful or impressive; exceptional, marvellous.",Super-duper
"A type of cuisine that combines both meat and seafood (especially lobster and steak), or restaurants that serve such cuisine.",Surf and turf
"Surfing (a.k.a. surfboarding) is, in its literal meaning, the riding of a wave while standing or lying on a surfboard. ", Surfing the Net/surfing the Internet/surfing the Web 
The idea that species adapt and change by natural selection with the best suited mutations becoming dominant.,Survival of the fittest
To 'suspend disbelief' is to  temporarily accept as believable of events or characters that would ordinarily be seen as incredible. This is usually to allow an audience to appreciate works of literature or drama that are exploring unusual ideas. ,Suspension of disbelief
"A
          swan song is a final composition or performance, given before dying or retirement.",Swan song
Nothing.,Sweet Fanny Adams
"""I will kill you and am prepared to be hanged as a consequence"", or ""I will swing a punch at you"". ",Swing for you
To shirk one's labour; to malinger. ,Swing the lead
An item of minor importance dominating a situation. ,Tail wagging the dog - The 
To 'take a back seat' is take a subordinate or reclusive position.,Take a back seat
Literal meaning.,Take care of the pence and the pounds will take care of themselves
"To 'take (or pull, or bring) down a peg (or two)' is to lower someone's high opinion of themselves.",Take down a peg or two
"Take one's chance as to what meal one is served when accepting another's hospitality. Also, in the USA, potluck is the name of a communal meal, in which participants each bring a dish to be shared. ",Take potluck 
Take control of a situation.,Take the bit between your teeth
"Carry off the honours. Sometimes used to express incredulity; for example, ""That's three goals he's missed in one game. If that don't take the cake..."". ",Take the cake
Remove an item's most attractive qualities. ,Take the gilt off the gingerbread
Tease or make fun of. ,Take the Mickey
Take a dominant position. ,Take the upper hand
To be displeased or offended by the actions of others. ,Take umbrage 
To take a statement with 'a grain of salt' (or 'a pinch of salt') means to accept it while maintaining a degree of scepticism about its truth.,Take with a grain of salt
To be taken aback is to be surprised or startled by a sudden turn of events.,Taken aback
"To be 'taken for a ride' is to be deliberately misled or cheated. Alternatively, and primarily in the USA, it means to be  abducted in a vehicle and murdered.",Taken for a ride
A reference to someone who appears unexpectedly while being talked about. ,Talk of the Devil
To 'walk the walk' is to back up one's talk with action. ,Talk the talk
Talk nonsense; especially on a subject that one professes to be knowledgeable about but in fact is ignorant of.,Talk through one's hat
(With outstretched vertical palm) Shut up - I've no interest in hearing what you've got to say.,Talk to the hand
An untrue and unbelievable story. ,Tall story
"The economic theory, and also the lay opinion, that whatever goods and services are provided, they must be paid for by someone - that is, you don't get something for nothing. The phrase is also known by the acronym of 'there ain't no such thing as a free lunch' - tanstaafl. ",Tanstaafl - (there's no such thing as a free lunch)
"Almost all examples of the written word are found on paper. Until the late 20th century, the only significant alternative was on gravestones. We can now add another source - tattoos.",Tattoo phrases and sayings
"Showy, but of poor quality.",Tawdry
Thief.,Tea leaf
"'Teensy-weensy' means very small. It is often used as a form of baby talk to young children when emphasizing the smallness of something. For example, ""why don't you eat just a teensy-weensy bit more spinach?"".",Teensy-weensy 
Vomiting.,Technicolor yawn
A scornful response to a tall and unbelieved story.,Tell it to the marines
"'Tell me about it' is a lighthearted, rueful response used when someone wants to say ""I'm well aware of that; you don't have to tell me."".",Tell me about it 
"A tempest in a teapot is a small or insignificant event that is over-reacted to, as if it were of considerably more consequence.",Tempest in a teapot
Demonstrate your true character. ,Test your mettle - see show your mettle
"The catchphrase on the
banner shown at the end of Looney Tunes cartoons.",That's all folks!
An articulation of a sudden and unforeseen  end to one's hopes or plans.,That's all she wrote
"These were Neil
Armstrong's words on first setting foot on the moon in 1969. The line is a strong contender as the most famous  ever to have been uttered. ","That's one small step for a man, a giant leap for mankind"
Misheard lyric.,"The ants are my friends, they're blowing in the wind"
"The proverbial saying 'the apple never falls far from the tree', or 'the apple doesn't fall far from the tree' expresses the idea that a person inevitably shares traits with or resembles his or her parents or family. ",The apple never falls far from the tree
"The apple of one's eye originally referred to the central aperture of the eye. Figuratively it is something, or more usually someone, cherished above others. ",The apple of my eye
A lonely forsaken place.,The back of beyond
"The
distribution of power between nations in such a way that no single state has dominance
over the others.",The balance of power
"The
difference between the value of the imports and exports that a nation makes.",The balance of trade
The agent of ruin or woe.,The bane of my life
If something is said to be the bee's knees it is excellent - the highest quality.,The bee's knees
The most attractive woman at a social gathering. ,The belle of the ball
The proverbial phrase 'attack is the best form of defence' expresses the opinion that a pre-emptive strike is the best way to defend yourself.,The best  defense is a good offence
The most carefully prepared plans may go wrong.,The best laid schemes of mice and men
"Nickname
  for New York, USA.",The Big Apple
"Nickname
  for New Orleans, USA, referring
  to the easy-going, laid back attitude to life that jazz musicians and local residents indulge in there.",The Big Easy
'The birds and the bees' is a  phrase that refers to coy explanations about sex and reproduction that are given to children. ,The birds and the bees
"To the
limit of one's efforts - to the last extremity.",The bitter end
"Uninformed
    and incompetent people leading others who are similarly incapable.",The blind leading the blind
"

A name used by Christians to denote Jesus Christ.",The bread of life
The slogan 'The buck stops here' is a promise that responsibility will not be passed on to anyone else.,The buck stops here
The appeal of nature in the raw.,The call of the wild
Literal meaning. ,The camera cannot lie
"The OED defines the word cant in several ways, which include:",The Canting Crew - phrases published in
Bad deeds or words return to discomfort their perpetrator. ,The chickens come home to roost
The proverb 'The child is father to the man' expresses the idea that the character that we form as children stays with us into our adult life.,The child is father to the man
"A
state of intestinal disorder, usually accompanied by a rumbling stomach; for example, 'butterflies in the stomach'.",The collywobbles
Literal meaning.,The course of true love never did run smooth
"The sound that heralds the day of the Last Judgment, when God will decree the fates of all men according to the good and evil of their earthly lives.",The crack of doom
"The
 lavatory.",The Crapper
"'The customer is always right' is a trading slogan that states a company's keenness to be seen to put the customer first. The implied suggestion is that the company is so customer focussed that they will say the customer is right, even if they aren't.",The customer is always right
One's general appearance and demeanour.,The cut of your jib
"The evil and malevolent aspect of human personality or society, often referred to in a lighthearted or comic context. ",The dark side
"There is hope, even in the worst of circumstances.",The darkest hour is just before the dawn
"'The Devil has all the best tunes' is the view that  music, especially popular music, is predominantly secular rather than religious.",The Devil has all the best tunes
The Devil in human form. ,The Devil Incarnate
"The details of a plan, while seeming insignificant, may contain hidden  problems that threaten its overall feasibility. ",The Devil is in the details
'The devil makes work for idle hands' is one of the numerous variants of phrase that express the idea that trouble or evil arises from not keeping  busy. ,The Devil makes work for idle hands to do
A proverbial phrase indicating that those who lag behind will receive no aid.,The Devil take the hindmost
'The devil to pay' means serious trouble because of a particular circumstance or obligation. ,The Devil to pay
"'The die has been cast' means that an
irrevocable choice has been made.",The die has been cast
Success comes to those who prepare well and put in effort. ,The early bird catches the worm
"An important and obvious topic, which everyone present is aware of, but which isn't discussed, as such discussion is considered to be uncomfortable. ",The elephant in the room
The label given to any fictional item that viewers have been induced into believing as real.,The emperor's new clothes
This expression was coined as a reference to the Spanish Empire but is now most frequently used to refer to the British Empire in the time of Queen Victoria.,The empire on which the sun never sets
The furthest reaches of the land. ,The ends of the earth 
"Normally with these meanings and origins the meaning is well-understood or self-evident and the interesting aspect is how, where and when the phrase originated. This one is a little different - it's the meaning that is generally not understood. ",The exception which proves the rule
"A reference to the mythological figure Helen of Troy (or some would say, to Aphrodite). Her abduction by Paris was said to be the reason for a fleet of a thousand ships to be launched into battle, initiating the Trojan Wars.",The face that launched a thousand ships
Living well; fed by abundant crops. ,The fat of the land
See also: the List of Proverbs.,The female of the species is more deadly then the male
The fifth power in the land.,The fifth estate
"The floozie (or floosie or floozy) in the jacuzzi is the nickname of the bronze statue, properly called Anna Livia, previously in O'Connell Street, Dublin, Ireland. It personifies the River Liffey, which passes nearby. ",The floozie in the jacuzzi
A fly in the ointment is a small but irritating flaw that spoils the whole. In the 20th century the expression has also come to be used to describe a small flaw that comes to light to spoil  an otherwise faultless plan.,The fly in the ointment
"Complete, the whole thing.",The full monty
"The phrase 'the game is afoot' means 'the process is underway'; for example, 'The teams are on the pitch - the whistle blows - the game is afoot.' ",The game is afoot
The original meaning was 'the game is over - all is lost'. More recently it has come to be used to mean ' we have seen through your tricks - your deceit is exposed'.,The game is up
"The common, lower classes; the hoi polloi.",The great unwashed
"The hair of the dog is a small measure of drink, intended to cure a hangover. ",The hair of the dog that bit you
A glance made with partially lowered eyelashes. This usually indicates suspicion or hostility but may signal other emotions too. ,The hairy eyeball
"A feeling of anxiety, apprehension or illness.",The heebie-jeebies
Judgement has not yet been finalised on a particular subject; especially due to information being incomplete. ,The jury is still out
The Land of Nod is a mythical  land where we travel to to sleep.,The land of nod
The final additional small burden that makes the entirety of one's difficulties unbearable.,The last straw
'The life of Riley' is an easy and pleasant life.,The life of Riley
"To beat the living daylights out of someone is to beat them severely, to the point where they lose consciousness. ",The living daylights
 'The long arm of the law' is a rather clichÃ©d way of referring to the police and to their assumed far-reaching crime-fighting and punitive powers.,The long arm of the law
"A reference to homosexual love, although Oscar Wilde
 denied this in his defense of the charge of gross indecency.",The love that dare not speak its name
"A disparaging description, often used to describe feminist or rowdy women by their detractors.",The monstrous regiment of women
"The more people who are present, the better an occasion or situation (especially a party) will be.",The more the merrier
The phrase 'The moving finger writes...' expresses the notion that whatever one does in one's life is one's own responsibility and cannot be changed.,The moving finger writes
"Excellent
- the highest quality.",The mutt's nuts
To the utmost degree; without limit.,The nth degree 
Nothing is irreversible until the final act is played out. ,The opera ain't over till the fat lady sings
Literal meaning.,The pen is mightier than the sword 
Become irritated or annoyed. ,The pip - Get/got/have 
'The pot calling the kettle black' is a response often given when someone  criticises  another for a fault they also  have themselves.,The pot calling the kettle black
The established government or authority.,The powers that be
To fully judge how effective something is you need to use it for its intended purpose.,The proof of the pudding is in the eating 
All souls - alive or dead.,The quick and the dead
The real thing - not a substitute. ,The real McCoy
"The road less travelled is the 
          unconventional or uninvestigated option. More metaphorically, it is also used to refer to 'the life you never had' - what might have been had you  made different choices. The notion is near
          to what is nowadays called 'alternative'.",The road less travelled
The intention to engage in good acts often fails. It points up the principle that there is no merit in good intentions unless they are acted on.,The road to hell is paved with good intentions
People who are described as 'the salt of the earth' are those who are considered to be of great worth and reliability. ,The salt of the earth 
The 'seven-year itch' is the supposed inclination to become unfaithful after seven years of marriage.,The seven-year itch
Artisans work for the wealthy but cannot afford their own produce.,The shoemaker always wears the worst shoes
To get the short end of the stick is to come off worst in a bargain or contest.,The short end of the stick
A line from Emerson's Concord Hymn. Later used to denote shots of various forms that had international significance. ,The shot heard 'round the world
There is no apparent limit.,The sky's the limit
"A euphemistic
reference to a lavatory.",The smallest room in the house
The final additional small burden that makes the entirety of one's difficulties unbearable.,The straw that broke the camel's back
An item of minor importance dominating a situation. ,The tail wagging the dog
A person who is widely admired.,The toast of the town
Close interrogation.,The third degree
A literal view of the subject of remarriage.,The triumph of hope over experience
Take a dominant position. ,The upper hand
"""The usual suspects"" are the people habitually suspected or arrested following a crime. ",The usual suspects
A collection of things. ,The whole kit and caboodle
The expression 'the whole nine yards' means 'all of it - the full measure'.,The whole nine yards
All of it; the whole thing.,The whole shebang
The expression 'the writing is on the wall' is used whenever an inevitable result or imminent  danger has become apparent. ,The writing is on the wall
The expression 'born on the wrong side of the blanket' is a euphemism for being born out of wedlock. ,The wrong side of the blanket
A very long time ago; too long ago to be dated.,The year dot
The supposed danger of Oriental hordes overwhelming the West. ,The Yellow Peril
The proverbial saying 'There is more than one way to skin a cat' means there is more than one way of achieving an aim. ,There is more than one way to kill a cat
This saying has a literal meaning. It suggests that statisyics can be used to mislead even more than the worst form of untruth.,There are three kinds of lies... 
"I too, like someone seen to have suffered misfortune, might have suffered a similar fate, but for God's mercy. ","There but for the grace of God, go I"
"This is the mantra chanted by 'dries' during the prime ministerial reign of Margaret Thatcher, by which they demonstrated their belief that free-market capitalism was the only possible economic theory. It was said so often amongst them that it was shortened to TINA. The hard-right Thatcherites called themselves 'dries' to demonstrate their opposition to the 'wets', that is, the One-Nation Tories whom Thatcher despised. Wet was the public school nickname for any boy who showed any sign of caring for his fellow beings.",There is no alternative
"The
weather is cold.",There's an R in the month
Methos in one's madness suggests reason behind apparent folly or disorder. ,There's method in my madness
"People of mature years, who are expected to know better, often do outrageously foolish things, especially regarding romantic liaisons.",There's no fool like an old fool
Home is the best of all places.,There's no place like home
"The economic theory, and also the lay opinion, that whatever goods and services are provided, they must be paid for by someone - that is, you don't get something for nothing. The phrase is also known by the acronym of 'there ain't no such thing as a free lunch' - tanstaafl. ",There's no such thing as a free lunch (Tanstaafl)
"'There is no such thing as bad publicity' is the notion that all mentions in the media aid a person's cause, even if they put them in a bad light.",There's no such thing as bad publicity
There are many fools and dupes in the world. ,There's one (a sucker) born every minute
"This proverbial saying express the opinion that the poor are treated harshly by the law whereas the rich, with their access to clever lawyers and bribes, usually escape punishment.",There's one law for the rich and another law for the poor
NO INFORMATION,They couldn't hit an elephant at this distance
"If something comes 'thick and fast' it comes in rapid succession with little time to respond between events. It may refer to physical objects, like raindrops, or non-physical, like commands.",Thick and fast 
Through all forms of obstacle that are put in one's way. ,Thick and thin 
Close friends with; sharing  confidences.,(As) thick as thieves
Exceedingly stupid.,(As) thick as two short planks
Disappear without trace.,Thin air - Vanish into 
The experience of beauty is blissful and lasting.,Thing of beauty is a joy forever - A 
Frightening but imagined supernatural events.,Things that go bump in the night
"Think creatively, unimpeded by orthodox or conventional constraints.",Think outside the box
Take time for consideration of some question.,Thinking cap
Close interrogation.,Third degree - The 
The belief that the third time something is attempted is more likely to succeed than the previous two attempts. It is also used as a good luck charm - spoken just before trying something for the third time. ,Third time lucky
NO INFORMATION,Thomas Paine - The writings of
A persistent difficulty or annoyance.,Thorn in the flesh
Literal meaning,Thou shalt not kill
Methos in one's madness suggests reason behind apparent folly or disorder. ,"Though this be madness, yet there is method in it"
"'Three
score and ten' is the nominal span of a human life. In the days that this expression was coined that span was considered to be seventy years.",Three score and ten
Very drunk.,Three sheets to the wind
This slogan was used by US President Clinton to publicize his plans for mandatory life sentences for those convicted of a third violent offence.,Three strikes and you are out
Through all forms of obstacle that are put in one's way. ,Through thick and thin 
"To throw in the towel (or, to throw the towel in) is to give up, to avoid further punishment when facing certain defeat.",Throw in the towel
"You 'throw good money after bad' when, following the loss of some money, you to incur a further loss in trying to make good.",Throw good money after bad
"Make or take up a challenge, or demonstrate one's willingness to join an enterprise. ",Throw your hat into the ring
"A sign of acceptance, approval or encouragement, made with closed fingers and the thumb extended upwards. ",Thumbs up
The dark interior of the earth.,Thus far into the bowels of the land
"'Tic-tac-toe' is the US name for a game  in which two players try to complete a row of either three noughts or three crosses, on  a grid of nine squares.",Tic-tac-toe
"Chastised; 'told off', or in a separate US meaning, 'annoyed'. There's also the literal meaning of 'ticked off' - when ticks are placed against a list of items as they are noted. ",Ticked off
Play the piano.,Tickle the ivories
Delighted. ,Tickled pink
"Make a small allowance (of money, food etc.) last until stocks are replenished. ",Tide over
Get married.,Tie the knot
For a long but indefinite time.,Till the cows come home
No one is so powerful that they can stop the march of time. ,Time and tide wait for no man
This metaphorical expression refers to the relentless an inevitable march of time. ,Time's winged chariot
Something that is insignificant or worthless.,Tinker's damn
To 'tilt at windmills' is to attack imaginary enemies.,Tilting at windmills
A story  invented in order to deceive. ,Tissue of lies
If something is said to fit 'to a T' it fits exactly; properly; precisely.  ,To a T
In effect; for all practical purposes.,To all intents and purposes
Shakespeare's line 'to be or not to be' is usually interpreted as meaning 'is it better to live or to die'?,"To be or not to be, that is the question"
To defy or go beyond what is believable. ,To beggar belief
"This introductory text was spoken at the beginning of many Star Trek television episodes and films, from 1966 onward:",To boldly go where no man has gone before
Moreover; in addition to.,To boot
"Be the first to attack a sinner. The implication in Jesus' teaching was that the members of the congregation were only in a position to condemn a sinner if they were without sin themselves - in other words, 'judge not lest you be judged'. ",To cast the first stone
A proverb expressing the idea that forgiveness is a worthy response to human failings.  ,To err is human; to forgive divine
To apply unnecessary ornament - to over embellish.,"To gild refined gold, to paint the lily"
"This line is from the celebrated 'To be, or not to be' speech in Shakespeare's Hamlet, 1602:","To sleep: perchance to dream: ay, there's the rub"
"Destined to be suited to something, by virtue of birth or custom and practise. ",To the manner born
To the utmost degree; without limit.,To the nth degree 
Hope and anticipation are often better than reality.,To travel hopefully is a better thing than to arrive
A person who is widely admired.,Toast of the town
To conform to an established standard or political programme. ,Toe the line
Something that is 'toe-curlingly embarrassing' is discomforting enough as to make one squirm and curl one's toes in response. ,Toe-curling
To be 'toffee-nosed' is to be snobbish; supercilious; stuck-up. ,Toffee-nosed
'Tommy Atkins' is a generic name for a  private in the British Army. ,Tommy Atkins
"'Tomorrow is another day' is famous for being the last line of Margaret Mitchells's American Civil War novel Gone With The Wind, 1936:",Tomorrow is another day
"In an ironic manner, not meant to be taken seriously. ",Tongue in cheek
Conceited; having a too high opinion of oneself. ,Too big for your breeches
Excess may do you harm. ,Too much of a good thing
"A colloquial version of 'goodbye', now rather archaic. ",Toodle-oo
"A fight, undertaken with all one's efforts and with the intensity of a wild animal.",Tooth and nail
One who is dominant or victorious. ,Top dog
Of the best quality; of the highest social standing. ,Top drawer
Excellent.,Top notch
'Topsy-turvy' means in disorder; with the top where the bottom should be. ,Topsy-turvy
A scene of disorder; a ruin; a mess. ,Total shambles
"A risky, precarious or delicate case or state of things - such that the slightest change could prove disastrous. ",Touch and go
Said of something or someone so unappealing that one wouldn't want to go anywhere near.,Touch with a barge-pole - Wouldn't 
"This
phrase is used by people who rap their knuckles on a piece of wood hoping to stave off bad luck. In the UK, the phrase 'touch wood' is used - often jokingly by tapping one's head. The phrases are sometimes spoken when a person is already experiencing some good fortune and hope that it will continue - for example ""I've been winning on every race - touch wood"". ",Touch wood 
Human interactive that emphasizes physical closeness and emotional openness. The phrase is often used disparagingly in contexts where hard and businesslike behaviour is the norm.,Touchy-feely
At once.,Tout de suite
Someone who can be relied on to provide support and comfort.,Tower of strength
"Surfing (a.k.a. surfboarding) is, in its literal meaning, the riding of a wave while standing or lying on a surfboard. ", Train surfing
'Trick or treat' is the ultimatum given to householders by children who call on houses to solicit gifts at Hallowe'en. ,Trick or treat
"To dance, especially in an imaginative or 'fantastic' manner. ",Trip the light fantastic
'Trouble and strife' is an English slang term for wife.,Trouble and strife
Loyal and unwavering in one's opinions or support for a cause. ,True blue
Literal meaning. ,Truth is stranger than fiction
The truth will become known eventually. ,Truth will out
Exhausted. ,Tuckered out
'Turkeys voting for Christmas' is used to describe people acting in a way that  is harmful to their own interests. ,Turkeys voting for Christmas
To turn a blind eye is to knowingly ignore something which you know to be real and significant. ,Turn a blind eye
A distinctive spoken or written expression. ,Turn of phrase
Reverse the positions of adversaries. The phrases is often used when the weaker position subsequently becomes dominant. ,Turn the tables
An unexpected piece of good fortune. ,Turn up for the books
To turn out well or successfully.,Turn up trumps
A jury.,Twelve good men and true
Go away - scram.,Twenty three skidoo
"All of the time - twenty four hours/day and seven
days/week.",Twenty four seven
An individual's opinion.,Two cents worth
Two people may be able to solve a problem that an individual cannot. ,Two heads are better than one
'Two peas in a pod' are two identical items or people.,Two peas in a pod
,"Udall, Nicholas - phrases collected by"
Completely under someone's control. ,Under the thumb
Keep it secret. ,Under your hat - Keep it 
Under the control or protection of someone or some group. ,Under the auspices of
Begin a journey or a project.,Get - underway
"A thing is 'under wraps' if it is concealed from public view, with only a few insiders being aware of it. ",Under wraps
"The expression 'uneasy lies the head that wears a crown' means that a person with great power, such as a king, is constantly apprehensive.",Uneasy lies the head that wears a crown
The Union Jack is the popular name of the national flag of the United Kingdom. ,Union Jack
"The common, lower classes; the hoi polloi.",The great - unwashed
"Brutus was
Caesar's close and trusted friend. To be stabbed by him was even more hurtful than by those who he was less intimate. ",The - unkindest cut of all
Following a course of action that leads to no good outcome.,Up a blind alley
With most phrases it is the origin rather than the meaning that is in doubt. 'Up a gum tree' has several meanings. The most commonly used is 'in great difficulties'. Other meanings are 'in a state of contentment' or 'with great speed'. ,Up a gum tree
Roused; incensed., Up in arms
In an awkward situation or unpleasant predicament.,Up the creek without a paddle
Apples and pears is Cockney rhyming slang for  stairs.,Up the apples and pears
"'Up the duff' is a euphemism for pregnant. It is used most commonly, although not exclusively, to describe unplanned pregnancy.",Up the duff
"'Up the pole' has various meanings, including:",Up the pole
"Go up the hill to Bedfordshire was phrase uttered to children in the UK when it was time to go upstairs to prepare for bed. The expression is now sounds rather antiquated to many, but it is still  used.",Up the wooden hill to Bedfordshire
"Initially, the phrase meant 'sharp and in the know'; more recently, 'up to the required standard'.",Up to snuff
'Upper crust' means aristocratic; socially superior. ,Upper crust
Take a dominant position. ,Upper hand
Roused; incensed.,Up in arms
'Ups-a-daisy' is an exclamation made when encouraging a child to get up after a fall or when lifting a child into the air.,Ups-a-daisy
To 'upset the apple-cart' is to cause upset - to create a difficulty.,Upset the apple-cart
"To raise the stakes, either in betting or in any form of conflict or competition.",Up the ante
Upside-down means turned so that the upper surface becomes the lower. ,Upside down
"An urban myth is a story, generally untrue but sometimes one that is merely exaggerated or sensationalised, that gains the status of folklore by continual retelling. ",Urban myth
Head.,Use your loaf
"""The usual suspects"" are the people habitually suspected or arrested following a crime. ",Usual suspects - The 
To use 'a sledgehammer to crack a nut' means to use disproportionate force or expense to overcome a minor problem. ,Using a sledgehammer to crack a nut
"Valentine's Day, or as it is more formally known, Saint Valentine's Day, is celebrated on 14th February each year. The Valentines that are commemorated or two Italian saints, Valentin or Valentnus, who share the saint's day of 14th February. The date is now when lovers declare their love by sending each other gifts and romantic cards. There's nothing especially romantic about the lives of the two original Valentines, they were both martyred for their faith, in Ad 197 and AD 269 respectively.",Valentine's Day Poems and Sayings
"Surfing (a.k.a. surfboarding) is, in its literal meaning, the riding of a wave while standing or lying on a surfboard. ",Van surfing
Disappear without trace.,Vanish into thin air
To 'veg out' is to relax in a slothful and mindless manner.,Veg out
Quotation - widely attributed to US ex Vice-President Dan Quayle. ,"Verbosity leads to unclear, inarticulate things"
"The reverse of the previous statement, with the main items transposed. Vice versa originates as Latin, with the literal translation being 'the other way round' or 'the position being reversed', but is now fully absorbed into English. ",Vice versa
A self-perpetuating process which returns to its starting point with no improvement from when it was begun. ,Vicious circle
"In
a position facing another. Literally 'face to face'. Often now used in the sense
of 'in relation to'.",Vis-a-vis
