company,slogan
"Met-Rx Sports Nutrition brand, USA",Met-Rx. Bigger. Better. Stronger.
"Moonshine Patio Bar & Grill in Austin, Texas",Return to great American cooking.
Two things which are so different as to have no opportunity to unite.,Never the twain shall meet
"Fusion West Media, custom web design company in Calgary",Where expectations meet excellence!
"Prepared for burial. The phrase has also been used to mean 'show something in the best possible light'. There are also reports of its use as meaning 'to criticize or condemn', but I can't confirm that usage.",Laid out in lavender
"Barley House Group, brand communications agency in Hertfordshire",One agency. More ideas.
Berkshire East Mountain Resort,Berkshire East. Ski the beast.
Hedland Bus Lines,Your people movers.
EMSI Public Relations,The guaranteed media pr firm.
"Buy Buy Baby, chain of baby shops in the Unites States",Everything for newborns to toddlers.
"Burger King, hamburger fast food restaurants",Fresh. Oh yes.
Lipton Chicken Noodle soup,The taste that beat Campbell's 2 to 1.
DTR clinic in Cardiff,Setting new standards in physiotherapy.
Quail Crossing RV Park in Texas,Heart of Texas hospitality.
"Vittoria coffee, Australia",Bring home the coffee they serve in award winning restaurants.
Ballina Lakeside Holiday Park in Australia,Where the river meets the sea.
"MI Windows and Doors, vinyl, aluminum and cellular composite windows and doors",MI. Seeing You Through.
Schick Intuition female razor,Trust your intuition.
Ideal Backpackers Hostel in Singapore,For the free spirited traveller.
Drat or doggone.,God rot them
SnowVentures Ski & Snowboard Vacations,There's no adventure like a SnowVenture!
Krylon Spray Paint Products,Krylon. Make it yours.
Chrysler car brand,Chrysler. Inspiration comes standard
Sutherland Printing,"Quality is not an act, it is a habit."
Ozarka natural spring water,Ozarka. Straight from nature to you.
"Hamlin Robinson School, an independent school in Seattle offering a specialized program for students with dyslexia and related language difficulties",Where learning has no limits.
"In Shakespeare's Cymbeline, Cloten uses lewd language to talk about Cymbeline. In an attempt to use musicians to court her, he calls on them to play 'a wonderful sweet air'. The hark, hark!... line is chosen to represent sweetness and refinement, as a counterpoint to the previous crudities.","Hark, hark! the lark at heaven's gate sings"
"New Seasons Market, grocery stores, USA",The friendliest store in town.
In it's original meaning land-lubber was sailor's term of contempt for a landsman. In more recent years it is a jokey name given to anyone who dislikes sailing or is incompetent in boats.,Land-lubber
"Tactical Solutions, field sales marketing agency",Making a difference.
"Mudd jeans, American youth brand",Our name is Mudd.
"JJ Cake Shop in Randburg, South Africa",Whatever the heart desires.
BRS Truck Rental,Total commitment 24-7.
Ashland Fitness Studio,The best little gym in Ashland.
Kleenex / Viva paper towels,Viva. Soak up Life.
Beardall Animal Hospital in Kingston,We love to see you and your pets!
Port of Dover,From here you're almost there.
"If it's said to be 'cold enough to freeze the balls off a brass monkey' it is very
cold indeed. ",Freeze the balls off a brass monkey - cold enough to 
Jungle PR in Norfolk,Growing your business profile.
"Glade air fresheners, scented candles",It's freshness to go!
"Dash In, convenience food stores, USA",Life... Made better.
"Haven, operator of caravan holiday parks in England",Britain's favourite seaside holiday.
American Express Credit Card,Membership has its privileges.
Tea.,Rosie Lea
Silky Socks,Bless your feet!
Hold on; be patient.,Hold your horses
Something that is described as having 'all the bells and whistles' is one fitted with attractive additional features.,Bells and whistles
Sling & Stone PR Agency,Agile. Fast. Proactive.
"The Glenlivet, malt whisky brand",The Glenlivet. One place. One whisky.
Denver Chiropractic Center of Dr. Glenn Hyman,Don't put up with pain.
"Ambassatours Gray Line, bus carrier, group excursions and sightseeing motor coach tours",We live it. We love it. We know it.
"A foregone conclusion is a decision made before the evidence for or against it is known. Literally, it is a conclusion which is inevitable because the result has  been decided beforehand (or 'afore'). ",A foregone conclusion
Very cute.,As cute as a bug's ear
"The Pickled Pear Catering Company, Tasmania",Your catering solution.
Hawaiian Airlines,Hawaii Starts Here.
Manchester Acupuncture Clinic,Mind & body maintenance.
Human Reality in Newcastle,Real HR support = real results.
To be at someone's beck and call is to be entirely subservient to them; to be responsive to their slightest request.,Beck and call
Aroma USB Fragrance Diffuser,Aromatherapy anywhere.
Peter Kaiser shoemaker,Peter Kaiser. Jewelry for your legs.
Days Inn Hotels,The best value under the sun.
A condition of perfection or newness suggestive of that of a freshly minted coin.,Mint condition
Listerine Mouthwash,"What brushing starts, Listerine finishes."
Jay's Quality Painting Inc. in Spring Grove,Where quality meets affordability.
New England Naturopathic Health,Medicine that makes sense.
"Artic Frutta, a combination of vodka and fruit juice",Break the ice.
Port of Waterford,Ireland's best connected port.
The missing of a person or thing increases the desire for it.,Absence makes the heart grow fonder
Grafton Village Cheese,Handmade in Vermont.
Excessively rigid  in matters of conduct; narrow or over-precise in one's behaviour or moral judgement. ,Strait-laced
"Forix, web design and digital agency",Where creativity meets technology.
"Viva Voyage, discount cruise agency",Discover the cruise experience.
"Bend Yoga Studio, San Francisco",A small studio with a big heart.
Golden Needle Acupuncture Clinic in Ajax,A natural way to health.
HR Consult in Cork,Helping clients achieve results through their people.
"Wimpy, brand of fast food restaurants",Enjoy every moment.
"Junior Baby, store in Montreal",Young. Fresh. Hip.
Crest Toothpaste and Oral Hygiene Products,Life opens up with a whiter smile.
Very quick.,Quicker than lager turns to p***
ZuZu's Pet Grooming Salon in Colorado Springs,A custom cut from nose to butt.
"Shipman Security Systems, intruder alarms, fire alarms, access control",Your safety is our priority.
Pedigree brand,Pedigree Pal. It's the best ever.
Bushmans Bar and Grill,A place for friends.
"TimeMist, metered air fresheners",Fresh thinking.
Yorkshire Provender soups,Delicious every day.
Port of Dover,There's no stopping us.
"The Open Gym, 24-hour gym in Albuquerque","Your gym, your time."
"The details of a plan, while seeming insignificant, may contain hidden  problems that threaten its overall feasibility. ",The Devil is in the details
Speed Stick Deodorant,Don't sweat it. Handle it.
AllBreeds Canine Training Center in Pelham,A well-behaved dog is a welcome dog!
To do something hugger-mugger is to do it in secret; in a clandestine manner. ,Hugger-mugger
Latvia Tourist Board,The Heartland of the Baltic
"Right Guard, brand of men's deodorants",Right Guard. For the win.
Bladium Sports & Fitness Club in Alameda,Big clubs. Big energy.
Chrysler car brand,Drive & Love
Wrangler jeans brand,Wrangler. There's a bit of the West in all of us.
Completely straight.,As straight as a die
"Direct2florist, service that allows shoppers find local florists",Local florists worldwide.
Friskies brand,Friskies. For more.
"Jan Wolsey, Brighton massage therapist",Change the way you feel.
"IPADE Business School in Monterrey, Mexico",Ranked 1st in Latin America.
Hoffman Chiropractic & Wellness Centre in Red Deer,Technology. People. Results.
"MRF Tyres, India",Tyres with muscle.
"There is some uncertainty about the precise meaning of this phrase. Some use it to mean 'make a choice about what you intend to do'; others have it that it means 'either get to work in a productive manner or do something else and let someone else work'. The second meaning, which I favour, and which is more common, is similar in meaning to 'put up or shut up', or the 20th century US vulgarism 's*** or get off the pot'.",Fish or cut bait
Wall's ice cream,Share happy.
Fresh HR Insights in Helensvale,Looking at HR in a different light.
Colgate Sensitive,Everyday protection for sensitive teeth.
Pan American World Airways - PanAm (now does not exist),PanAm. We're flying better than ever.
"International Ports Services, Saudi Arabia",Proud to be your gateway to the upper Gulf.
Klondike ice cream bars and sandwiches,What would you do for a Klondike bar?
Stephenson Group,Driving business success.
"The expression  'a pretty kettle of fish' or 'a fine/nice kettle of fish'  means 'a muddle or awkward state of affairs'. It's the kind of situation that Oliver Hardy was referring to when he told Stan Laurel ""here's another nice mess you've got me into"".",Kettle of fish
"In order to achieve, you need to act and take risks.","Nothing ventured, nothing gained"
Town House Motel in Longview,"Convenient, clean and affordable."
"CBS, Columbia Business School in Manhattan, New York",At the very center of business.
Mitraa Hostels in Singapore,Mitraa means friend.
"Sun Fix Tanning Salon in Fairbanks, Alaska",Get your fix at Sun Fix.
To employ alternative methods.,Ring the changes
"Pilgrim Painting, exterior & interior painting services",The journey to a beautiful home.
"Vitasoy brand, soy milk and soy beverages",Vitasoy. Enjoy Your Health.
To 'walk the walk' is to back up one's talk with action. ,Talk the talk
"A share in an activity, or in its profits. ",Piece of the action
Progresso canned soups,What a light soup should be.
"The Medical City, tertiary care hospital, Philippines",Capital of health.
Alveus tea wholesaler,Source of daily wellbeing.
Little Debbie snack cakes,Little Debbie. America's #1 snack cake.
The condition of having a body weight high enough to pose a severe risk to health. This is informally measured as having a body weight which is more than twice the optimum. It is indicated more precisely by a 'body mass index' of 40 or over (BMI = the weight in kilograms divided by the square of height in metres).,Morbid obesity
CC's Coffee Houses in Louisiana,"You love our coffee, we love our guests."
Chiffon margarine,"If you think it's butter, but it's not, it's Chiffon."
"Cathay Pacific Airways, Hong Kong",Cathay Pacific. The heart of Asia
"Corona, Mexican brand",Corona. Miles Away From Ordinary
Renuzit Air Fresheners,Renuzit doozit.
Verbatim Solutions,Language of improvement.
Toyne Business Consultants,Profit. Wealth. Future.
St. George Naturopathic Clinic,Feel better. Live longer!
"Craig's Bakery in Kamloops, Canada",We work while you sleep.
Mountain Hostel in Switzerland,High in the Alps.
The proverbial saying 'don't let the grass grow under your feet' means don't delay in seizing an opportunity.,Don't let the grass grow under your feet
Put oneself in an isolated  position in one's support of someone or something.,Go out on a limb
Tugwell Roofing Co.,A small company with a big reputation.
A request to be quiet.,Put a sock in it
The pace of mounted pilgrims. ,Canterbury pace
"Radio Contact, Belgium","Whatever happens, feel good."
"Dean Taxis, United Kingdom",Your destination is our goal.
Asheville Regional Airport,Take the easy way out.
Semperit tires,Entire performance.
British Egg Marketing Board / advertising campaign of eggs,"Serve eggs, save money!"
Apex Home Loans,Local. Experienced. Independent.
Pedigree brand,Sealed in goodness
Planet Pet & Aquarium in Kalgoorlie,The preference of pets and people.
Keele Management School at Keele University,The thinking manager's MBA.
Good Humor ice cream,Good Humor. Return to the classics.
Milka Chocolate,Dare to be tender.
"Yamanouchi, Japanese pharmaceutical company",Creating and caring... For life.
"Mintel, global market research firm",Intelligence in time.
Kronenbourg 1664 lager,1664. A Good Year for Beer.
General mayhem; a free-for-all fight.,Battle royal
"Curves Hair Studio in Manassas, VA",Styles to fit your lifestyle.
Gershman Mortgage,Isn't it time you call Gershman?
"Rosenborg, Danish blue cheese","Rich, smooth and distinctive."
Ice Swan glacial water from Chilean Patagonia,Ice Swan. The beauty of water.
Suntopia Tanning Studios,For that perfect glow you always desired.
Cutter Insect Repellents,Incredibly effective.
Brighton Massage Center,Journey in health.
"Brancato Creative, complete graphic design services",Graphic design served up full service or a la carte.
"BOH tea, Malaysia",Share the Ummph!
"A loyal and
  reliable friend.",Stand up guy
Studio Y Interior Design in Whangarei,Style your space.
"Escape Fitness Studio, women’s gym in Sydney",Escape the everyday.
PAW Dog Training,Problem? No problem!
Moritz ice cream,Make time to indulge.
"iii Design, marketing & design studio in San Luis Obispo","Where innovation, imagination and ingenuity meet."
Restrain one's ardour; lower one's ambitions.,Draw your horns in
Partners Pet Supermarket in St. Albans,Your No.1 pet supermarket.
"Alert Communications, business answering and call center services",Revolutionizing the call center industry.
Minuteman Press,The first & last step in printing.
"Exclamation of surprise. This is an example of a minced-oath, and is a euphemism for 'By God'.",By gum
Seneca College in Toronto,Because it matters.
"CruiseDeals.com, USA, online seller of cruise vacations, discount and last minute cruise deals",Better prices. Exceptional people.
"Beardsleys Painters, painting company in Havertown, PA",Masters in our field.
"Abbey National Bank, UK",Get the Abbey habit.
Heavens' Bistro low-fat frozen pizzas,"All the taste, not on your waist!"
180 Degrees Hair Studio,Complete hair transformation.
Orbit Professional Cleaning Services in Melbourne,Think clean. Think Orbit.
"Ships' goods which are lost at sea. Also used figuratively in non-nautical contexts to means odds and ends, bits and pieces.",Flotsam and jetsam
Combs Veterinary Clinic in Bloomington,"Where medicine, experience and compassion come together."
Human interactive that emphasizes physical closeness and emotional openness. The phrase is often used disparagingly in contexts where hard and businesslike behaviour is the norm.,Touchy-feely
In disgrace; out of favour.,In the doghouse
Douwe Egberts coffee,Douwe Egberts. The coffee category expert.
The PR Company,Your story. Our passion.
Greenlight Loans,Easy money!
Vitalite sunflower margarine,For soldiers with a healthy appetite.
"Best Friends, pet stores in Australia",The best in pet care.
Dresdner Bank,Dresdner Bank. Advice you can bank on
"Iflorist, network of flower stores in the UK",The world's local florist.
"Harmony Condoms, India",Try something new tonight!
Someone or something that disappoints expectations. ,Bad egg
Who's Walking Who Dog Training Centres,The smartest way to train your dog.
"Access 1 Security Systems, Australia",Protect your hard earned possessions.
"Ridgway Bar & Grill in Naples, Florida","Culinary classics, classically Naples."
"Preoccupied
or obsessed with an idea.",Bee in your bonnet
A new arrival in an area or in a group of young friends.,New kid on the block
"Fleur du Cap brand, South Africa",Fleur du Cap. Wines inspired by Nature
Ecco Shoes,Ecco. Shoes for life.
"Axe, brand of deodorants, body sprays",Find your magic.
Maybelline makeup brand,Maybe she's born with it. Maybe it's Maybelline.
Pitt River Water Taxi,Our experience. Your safety. Your comfort.
Kraft cheese,Kraft cheese. Make something amazing.
General Tire brand,Anywhere is possible.
To be 'over a barrel' is to be left without choice; in someone else's power. ,Over a barrel
Lakes Printers in Tuggerah,True print solutions.
Treasure Valley Family Dentistry,Because you should want to go to your dentist.
"Nickname
  for New York, USA.",Big Apple - The 
BC Ferries,Life on the coast.
Dayton truck tires,Performance for every road.
Pride Veterinary Centre in Derby,Where caring means more.
"Yorkdale, large shopping centre in Toronto, Ontario",Yorkdale. Be inspired.
"The Sunday Herald, Scotland",Sunday Herald. Seven Days. One paper.
The proverbial saying 'familiarity breeds contempt' express the idea that a close long-term relationship with a person or situation brings about feelings of boredom or lack of respect.,Familiarity breeds contempt 
"Clear Channel Outdoor, worldwide outdoor advertising company",Tell a bigger story.
Johnnie Walker brand,The very finest Scotch Whisky of a great age.
"Lavazza, Italian brand of coffee and coffee machines",Lavazza. Espress yourself.
"Jani-King, janitorial services",Jani-King. The king of clean.
Posture Perfect Pilates,Strengthen & lengthen one breath at a time.
"

People like to retell stories about the origin of some phrase or other. I get mail, phone calls, posts on Facebook. ",Folk Etymology - The Nonsense Nine 
"Skiholidays.com, online operator for winter sports travel",Booking your ski holiday will never be the same again!
Happy Tails Pet Grooming in Marshalltown,Tail wagging deals!
Bad Frog beer,The Beer so Good it's Bad.
Jack's Pets Stores,Everything for every pet.
"Bliss Bakery in Groton, Massachusetts",Everyone deserves a little Bliss.
Tahlequah Printing Co.,Buy local. Spend it here. Keep it here.
"Bristol-Myers Squibb, biopharmaceutical company",Together we can prevail.
Equilibrium Massage Therapy Clinic in Victoria,Find your balance.
Durham Tees Valley Airport,Taking you places.
"Used to describe the contemporary culture of the United Kingdom, primarily during the 1990s. ",Cool Britannia
Drink induced mayhem.,Lager frenzy
Tequila Corazon de Agave,The good stuff.
Griffith Massage Centre,"With good therapists, good results."
Aircab Taxi Company in Moncton,Fast & friendly.
Huggies Natural Care Baby Wipes,Cleans better than Pampers.
The dark interior of the earth.,Thus far into the bowels of the land
"Adelholzener mineral water, Germany",Adelholzener. Pure Alpine power.
W Hotels & Resorts,Whatever you want. Whenever you want it.
Credit card of Halifax Bank,Use it when money matters.
Timberlake Campground in North Carolina,You will feel at home every time you return!
Garcia Plastic and Hand Surgery in Glens Falls,There's no better time to look and feel fantastic in everything you do.
"Alert Communications, business answering and call center services",Connect for success.
Selters natural mineral water from Germany,Original Selters. The source of good taste.
ACT Advanced Care,Amazingly advanced.
J9's K9s Dog Training,Learn while you play!
"ABC Stores, convenience stores in Honolulu, Hawaii",The store with aloha.
Kitchener Public Library,Where community connects.
"This proverbial saying express the idea that, wherever you travel in the world, your home is the best place to be.","East, west, home's best"
Metropolitan Plastic Surgery in Missouri,Restore. Rejuvenate. Rejoice!
Egg Farmers of Canada,Dedicated to quality.
"Arena Flowers, online flower shop",An experience delivered.
"Wheels Van & Truck Rental, England","You need 'em, we've got 'em."
"Maastricht School of Management in the Netherlands, MBA, DBA, PhD",The globally networked management school.
The real thing - not a substitute. ,The real McCoy
An approach to organisation or planning that is built up from basic details rather than from a guiding principal or theory. It is a form of organisation often associated with the democratic involvement of many individuals rather than one governed by an individual or small group. ,Bottom-up
"Tinstar Design, web and graphic design studio in Lymington",Dress your company for business.
Husqvarna Viking sewing machines,When you're ready for the best.
Canadian Club brand,Canadian Club. Be a Part of it.
"Fixodent brand, denture adhesive products",Fixodent. Life with more bite.
"GoodLife Fitness, clubs in Canada",Makes it easy.
Ameristar Casino Kansas City,Ameristar. More Casino. More Fun.
State Farm Insurance Company,Get to a better State.
"Essence Cakery in Plano, Texas",Life is too short to eat bad cake.
Carlton Cigarettes,"If you smoke, please smoke Carlton"
"Easycar.com, online car rental broker",Low cost car rental online.
Inked Tattoo Studio in Sherborne,Fine body art.
"A   grandfather clock is a colloquial name for the kind of weight-and-pendulum eight-day clock in a tall case, formerly in common use.",Grandfather clock
Emma's Comfort Coop eggs from California,"More space to stretch, perch, groom and nest."
Flying Tarts Bakery & Cafe in Kinglake West,A tart you can take home to your Mum!
Charleville cheese brand in Ireland,For the love of cheese.
Toys R Us toy stores,C'mon. Let's play!
BC Ferry Coalition,This is our highway.
Splendor Design Group,We make you look good.
If something is said to fit 'to a T' it fits exactly; properly; precisely.  ,To a T
Palm Beach Physiotherapy Centre,"Get up, get better, get here!"
Singapore Changi Airport,Like no other airport on earth.
Neutrogena / Clean Lash Tint mascara,Rethink your lash look.
Stirling Creamery butter,Better butter. Naturally.
Someone might be said not to know shit from Shinola if they display poor judgment or knowledge. ,Doesn't know **** from Shinola
Casio Watches,Casio. Technology for life.
"Finished with, as in thrown overboard.",By the board
Allstate Insurance Company,You’re in good hands with Allstate.
Be quick; hurry up.,Chop-chop
"EartH2O Water Company, offers spring water with delivery",Keep it real.
Start again on a new design  or plan after the  failure of an earlier attempt.,Back to the drawing board
Winter Park Resort in Colorado,Colorado's highest.
Definitely alive; lively and active. ,Alive and kicking
"Boots, pharmacy chain in the UK and Ireland",Trust Boots.
Concord Chapel Animal Hospital,Caring for pets and their people.
Bridgestone tires,A grip on the future.
Counting sheep is  a distraction technique used to help people get to sleep. ,Counting sheep
"w3design, web design company in Australia",The business for your business online.
Interflora,With Interflora you're there.
"Paintsmith Decor, professional painters in Edmonton",Painting houses like homes.
Bug-a-lugs Maternity & Baby Store,Everything you need from conception to reception.
South West Dog Training & Behaviour Centre,Their future in your hands.
"Virtuosity, brand development company",Enriching brands.
The 'buttered side down' view of life is one that is pessimistic and fatalistic.,Why does bread always fall butter side down?
"Village Yoga Studio, Winston-Salem",Helping you find your own way on your yoga path.
Elegance Beauty Salon and Day Spa Treatments in Canberra,The Wow is in the results!
Kellogg's / Rice Krispies cereals,Because that's the kind of Mom you are.
Howard University School of Law in Washington,Leading the fight for social justice.
The Public Library of Cincinnati and Hamilton County,Connecting people with the world of ideas and information.
"Five Point Studio, graphic design specialists in Cape Town",Let's get creative.
Turklingua Turkish Translation Agency,Crystal clarity in Turkish translations.
A misfortune.,An ill wind 
Wonka Chocolate,Feed your imagination.
5 Hour Energy Shots,Now is the time for 5 Hour Energy.
Port of Galveston,Gateway to the Gulf.
"Agnew, translation agency in Los Angeles",Think. Translate. Captivate.
Troy Acupuncture,Continuing generations of family tradition.
The University of Melbourne in Australia,Make your studies worth living.
'Piggy-wiggy' is a pet name for a pig. ,Piggy-wiggy
"Nana's Bakery in Windsor, Ontario",Ask us at Nana's and we'll make it for you!
Open Door Yoga Studio in Raleigh,Strong limbs. Deep roots. Open minds. Open doors.
"Tomorrow’s Dentistry Today, Omaha",Complete care on your schedule.
Without even asking for permission.,By your leave
"Fitness First, international chain of health clubs",We'll help you put your fitness first.
Ujena Swimwear and Bikinis,Making women feel sexy since 1984.
"Irish Pride bread, Ireland",Irish Pride. It's a matter of pride.
The expression 'Gordon Bennett!' is an exclamation of incredulous surprise.,Gordon Bennett
"Sunday River, ski resort in Maine",Find your happy place.
Noble HR Solutions,"Changing people, processes & perceptions."
"Play to keep the winnings. Also, more generally, especially in America, 'in deadly earnest; in such a way that the result will stand'.",For keeps
Keep it secret. ,Under your hat - Keep it 
Jiffi Australian Condoms,Real men do it in a Jiffi.
"Typhoo, brand of tea in the United Kingdom","Get back your ""oo"" with Typhoo."
Command Security Corporation,Securing all you value.
TIS Wheels,Twenty inches strong.
"MuscleWorx Massage in Hamilton, NZ",Massage therapy that works.
Hellmann's Mayonnaise and other condiments,Bring out the Hellman's and bring out the best
Progressive Consulting in Invercargill,People & performance professionals.
"The sudden and complete withdrawal from an addictive substance and/or the physiological effects of such a withdrawal. Also, predominantly in the U.S.A., plain speaking. ",Cold turkey
Acura cars (the Honda Motor's brand),The True Definition of Luxury. Yours.
Heinz Tomato Ketchup,A good meal out deserves a great ketchup. Insist on Heinz
Horizon Socks,We've got your feet covered.
Nescafe Blend 37 coffee,"Richer, darker, distinctly continental."
"B.O.S.S. Fitness Studio in Columbus, Ohio",Bodies of stamina & strength.
Fitness Formula Clubs in Chicago,It's not just a Chicago gym. It's a Fitness Formula Club.
Literal meaning.,(The) pen is mightier than the sword 
"To keel over is to fall, suddenly and in a heap. ",Keel over
Dairy Queen,So good it's riDQulous.
"'A golden key opens any door' is the opinion that sufficient money, or the promise of it, will allow the possessor of it to do anything they wish.",Golden key can open any door - A 
Target Stores,Don't stop living in the red
"Head & Shoulders, anti-dandruff shampoo",Live flake free.
"Park Driving School in Sherwood Park, Canada",Safety is our priority!
Glenfiddich Scotch Whisky,The Independent Spirit
Heinz Real Soup,Take a break from fake.
Cailler Chocolate from Switzerland,Pure chocolate. Pure emotion.
John Darke Interiors in Tauranga,Anything but ordinary.
Southwestern Law School in Los Angeles,A landmark in legal education.
"Ambi Pur, air freshening products",Pure inspiration.
"El Naturalista, Spanish natural shoes",El Naturalista. Walking through life.
Sheriff's Highway Veterinary Hospital,We care for your pets - completely!
Honda Motorcycles,You Meet the Nicest People on a Honda
"Frisco, South African brand of instant coffee",Release the flavor.
"Barron's, America's premier financial weekly",Barron's. News Before the Market Knows.
"Thomas’s Bakery in Lancashire, United Kingdom",Fresh to you each day!
Hospice of Medina County,Expert care. Compassionate hearts.
Very enthusiastic.,As keen as mustard
"'Walking the plank' was a form of naval execution in which victims were forced to walk, often blindfold and with hands tied, off a plank of wood and into the sea.",Walk the plank
Braniff Airways,"If You've Got It, Flaunt It"
The expression 'heads will roll' is the promise or prediction that  people responsible for some failure or disaster will be dismissed or otherwise held to account. ,Heads will roll
Cherry Hill Public Library in New Jersey,The heart of town.
"Paradise Pets, store in Swindon","If animals could talk, they'd talk about us!"
"Gevalia, premium gourmet coffee",Let's coffee.
Metamorphic PR in Manchester,Business changing communications.
"Horncastle Cake Art, cake decorating company in Lincolnshire",Cakes handcrafted with care.
To  'fend off' is to resist; to keep (someone or something) from coming near.,Fend off
Courtyard by Marriott,Make room for a little fun.
Hospice of the East Bay,We're here when you need us.
Carolina Footwear,Carolina. Built for Work.
The fifth power in the land.,The fifth estate
Makita LXT power tools range,"Incredibly light, incredibly powerful."
"Synseal, PVCu profile for windows, doors and conservatories, UK",Synseal. Ask for it by name.
Turn to peaceful pursuits and away from war.,Beat swords into ploughshares
To be stuck fast is to be firmly fixed in place and unable to move. ,Stuck fast
Give way; give in; submit. ,Knuckle under
"A
dollar.",An Oxford scholar
"Pisa, Nut Liqueur,",Pisa. A whole new slant on things.
Actavis Generics,Actavis. Think smart medicine.
"Bliss Bakery & Bistro in Peachland, Canada",Live. Love. Laugh. Loaf.
Puffs Tissues brand,A nose in need deserves Puffs indeed.
Peters Entice ice cream tub,Clearly it's going to Entice.
"Winstar Casinos, Oklahoma",Winstar Casinos. Reel Action. Real Winners. Real Close.
Jenny's Gourmet Bakery in Adelaide,Made for you.
Scope Physiotherapy Clinic in Essex,Hope for functional restoration.
"Diamond Fitness, gym in Altamonte Springs","Forever fit, forever strong!"
"Taz Hair Company, hair salons in Canada",We create styles for the way you look and the way you live!
"Summit Saturday School in London, exam preparation",We give you the tools to climb mountains.
Something which has 'gone for a burton' is no longer functional - a reference to a person who had died or an item that was broken.,Gone for a burton
"F & L Limos & Livery, limousine service",Transporting you in style!
Ashburn Children's Dentistry,All aboard for healthy smiles!
"ServiceMaster Clean, commercial and residential cleaning, USA",We stop at nothing.
"Tasos Barber Shop in Dundas, Canada",Where you will find the cut you are looking for!
TriNet HR Outsourcing Company,Ambitions realized.
"A photographer's instruction just before taking a picture, in order to make people smile.",Watch the birdie
"Brand Harvest, brand consulting company in Mumbai",Bringing a fresh perspective.
"Allison Proctor, freelance graphic designer",Bringing ideas to life.
"Plastic Surgery of Short Hills, facial cosmetic, reconstructive procedures",A more beautiful you.
Exceedingly stupid.,As thick as two short planks
"LCA, Lease Corporation of America",Financing you can trust.
William Hill Winery wines,William Hill. Elegance. Defined.
"Boom Fitness, health club in New York",Strength that shows.
"The glass ceiling is an unacknowledged barrier to workplace advancement, usually in regard to women or minority groups. ",Glass ceiling
"Kingston Business School, London",Take control of your career.
"Kirra Tours, coach tour operator in New Zealand","Taking the time, since 1968."
"Farmers Union iced coffee, Australia",It's a Farmers Union Iced Coffee or it's nothing.
"DY Works, branding agency in India",Building brands in culture. Building culture in brands.
St. Jude Children's Research Hospital,Finding cures. Saving children.
Fanshawe College in Canada,Unlocking potential.
"British Lion Quality, mark on egg shells and egg boxes in England",British Lion Eggs. Fast food. And good for you.
"Mesa Riverview, outdoor shopping mall in Mesa, Arizona",You'll find it here!
To carry coals to Newcastle is to undertake something which is both unnecessary and pointless.,Coals to Newcastle - Carry 
"Celestial Seasonings, brand of herbal and green tea in the USA",All natural. No caffeine.
"Buckmans Car Wash in Rochester, New York",Your hometown car wash!
"Rubbish, nonsense. Also used, although less often in recent years, as an exclamation of incredulity. ",Stuff and nonsense
"Living Well Pilates, classes in Oakville",Pilates for all bodies.
Intent on a confrontation or fight. ,On the warpath
Jesus's response when tempted by the Devil.,Get thee behind me Satan
Tony's frozen pizza products,Tony's. Tastes like fun.
An expression of emphatic disbelief.,(In a) pig's eye
"Wellington Bakery in Nova Scotia, Canada",Love at first bite.
To avoid committing oneself; to leave a means of retreat open. ,Hedge your bets
Full to the brim; packed tight.,Full to the gunwales
"'Tell me about it' is a lighthearted, rueful response used when someone wants to say ""I'm well aware of that; you don't have to tell me."".",Tell me about it 
"Ohkay Casino Resort, New Mexico",Ohkay Casino Resort. Player's Choice
Eastern Virginia Medical School,Improving the health of the community.
"Attitude, graphic design company in Nottingham",Creatives at your service.
Guinness Irish Stout,Guinness is Good for You
The Mewes Vets,Treating pets as friends.
CQ Coffee Roasters,Coffee driven from farm to cup.
"A
kindred spirit - someone I can agree with.",Man after my own heart - A 
'The life of Riley' is an easy and pleasant life.,Riley - the life of 
Forhan's Toothpaste,Use Forhan's for safe dental care.
Crest Flex Head,Fits like a glove.
In a position where advance and retreat are both impossible; in a fix.,Caught in a cleft stick
AWS Roofing Services in Edgewater,We fix roof leaks.
"Boru, Irish brand",Boru. The Purest Expression of Vodka.
"To the
limit of one's efforts - to the last extremity.",The bitter end
"Whitey’s Ice Cream, chain of ice cream stores in Illinois and Iowa",Now you know you're home.
A Mackerel sky is a sky that is streaked  with rows of small white  clouds which resemble the pattern of scales on a mackerel's back.,Mackerel sky
Coldwell Banker Real Estate Corporation,Coldwell Banker. Expect the Best
Bank of America,Embracing ingenuity
Erin soup brand,Erin. Soup that stirs your soul.
"Everything, or everyone, is accounted for.",All present and correct
"The Australian, Australia's national daily newspaper",Are you an informed Australian?
Taylors of Harrogate coffee,Home of the world's finest coffees.
Iona College in New York,Move the world.
Solace Yoga Studio in Mishawaka,Soothe your soul.
Firestone tires,"Whatever you drive, drive a Firestone."
"AC Schnitzer, tuning house for BMW and MINI","Made by winners, made for fun."
Let whatever events crop up come to pass. ,Come what come may
Vigo County Public Library,Generating change. Transforming lives.
Graeter's ice cream shops,Irresistible Graeter's.
"Aquarius, carwash in Mudgee, Australia",Love your car!
"Walsh Taxi, provides private taxi tours in Ireland",Your taxi and tour people.
Columbus eggs,Healthier eggs from healthier hens.
"There are various meanings of the phrase 'bale-out', including 'making an emergency parachute escape from an aeroplane' and 'ladling water from a boat'. ",Bale out/bail out
